Sequence,CH1,CH2,Bfield
303,1.68,-1.0,0.00010079999999999998
304,1.68,-1.0,0.00010079999999999998
305,2.0,-1.8,0.00011999999999999999
306,2.0,-1.0,0.00011999999999999999
307,1.76,-1.8,0.00010559999999999999
308,2.0,-1.0,0.00011999999999999999
309,1.76,-1.8,0.00010559999999999999
310,1.84,-1.6,0.0001104
311,2.0,-1.0,0.00011999999999999999
312,1.84,-1.8,0.0001104
313,2.08,-1.0,0.0001248
314,2.08,-1.0,0.0001248
315,1.84,-1.8,0.0001104
316,2.08,-1.8,0.0001248
317,1.84,-1.0,0.0001104
318,2.16,-1.0,0.0001296
319,1.84,-1.8,0.0001104
320,2.08,-1.8,0.0001248
321,1.92,-1.0,0.00011519999999999998
322,1.92,-1.8,0.00011519999999999998
323,2.16,-1.0,0.0001296
324,2.16,-1.0,0.0001296
325,1.92,-1.8,0.00011519999999999998
326,2.16,-1.0,0.0001296
327,1.92,-1.8,0.00011519999999999998
328,2.0,-1.8,0.00011999999999999999
329,2.16,-1.0,0.0001296
330,2.0,-1.0,0.00011999999999999999
331,2.24,-1.8,0.0001344
332,2.0,-1.0,0.00011999999999999999
333,2.24,-1.8,0.0001344
334,2.24,-1.0,0.0001344
335,2.0,-1.8,0.00011999999999999999
336,2.24,-1.8,0.0001344
337,2.0,-1.0,0.00011999999999999999
338,2.24,-1.8,0.0001344
339,2.0,-1.0,0.00011999999999999999
340,2.08,-1.0,0.0001248
341,2.32,-1.8,0.00013919999999999997
342,2.08,-1.4,0.0001248
343,2.32,-1.8,0.00013919999999999997
344,2.32,-1.2,0.00013919999999999997
345,2.08,-2.0,0.0001248
346,2.32,-1.4,0.00013919999999999997
347,2.08,-2.0,0.0001248
348,2.08,-2.0,0.0001248
349,2.4,-1.2,0.00014399999999999998
350,2.08,-2.0,0.0001248
351,2.4,-1.2,0.00014399999999999998
352,2.16,-2.0,0.0001296
353,2.4,-1.2,0.00014399999999999998
354,2.4,-1.2,0.00014399999999999998
355,2.16,-2.0,0.0001296
356,2.4,-2.0,0.00014399999999999998
357,2.16,-1.2,0.0001296
358,2.24,-2.0,0.0001344
359,2.48,-1.4,0.00014879999999999998
360,2.24,-2.0,0.0001344
361,2.48,-1.2,0.00014879999999999998
362,2.24,-2.0,0.0001344
363,2.48,-1.2,0.00014879999999999998
364,2.48,-1.6,0.00014879999999999998
365,2.24,-2.2,0.0001344
366,2.48,-1.6,0.00014879999999999998
367,2.32,-2.2,0.00013919999999999997
368,2.32,-2.2,0.00013919999999999997
369,2.48,-1.6,0.00014879999999999998
370,2.32,-1.6,0.00013919999999999997
371,2.64,-2.2,0.0001584
372,2.32,-2.2,0.00013919999999999997
373,2.64,-1.6,0.0001584
374,2.64,-1.6,0.0001584
375,2.32,-2.4,0.00013919999999999997
376,2.4,-1.8,0.00014399999999999998
377,2.64,-2.4,0.0001584
378,2.64,-1.8,0.0001584
379,2.32,-2.4,0.00013919999999999997
380,2.4,-2.4,0.00014399999999999998
381,2.72,-1.8,0.0001632
382,2.48,-2.0,0.00014879999999999998
383,2.72,-2.6,0.0001632
384,2.48,-2.0,0.00014879999999999998
385,2.72,-2.6,0.0001632
386,2.48,-2.6,0.00014879999999999998
387,2.72,-2.0,0.0001632
388,2.56,-2.2,0.0001536
389,2.8,-2.8,0.000168
390,2.8,-2.2,0.000168
391,2.56,-3.0,0.0001536
392,2.8,-3.0,0.000168
393,2.56,-2.4,0.0001536
394,2.56,-2.4,0.0001536
395,2.8,-3.2,0.000168
396,2.56,-2.8,0.0001536
397,2.8,-3.4,0.000168
398,2.64,-2.8,0.0001584
399,2.8,-3.8,0.000168
400,2.64,-3.0,0.0001584
401,2.88,-4.0,0.00017279999999999997
402,2.88,-3.4,0.00017279999999999997
403,2.64,-4.2,0.0001584
404,2.64,-3.8,0.0001584
405,2.88,-4.6,0.00017279999999999997
406,2.64,-4.2,0.0001584
407,2.88,-5.0,0.00017279999999999997
408,2.64,-4.4,0.0001584
409,2.96,-5.4,0.00017759999999999998
410,2.64,-5.0,0.0001584
411,2.96,-6.4,0.00017759999999999998
412,2.96,-5.8,0.00017759999999999998
413,2.72,-6.8,0.0001632
414,2.72,-6.2,0.0001632
415,2.96,-8.0,0.00017759999999999998
416,2.72,-7.4,0.0001632
417,3.04,-9.0,0.0001824
418,2.8,-8.6,0.000168
419,3.04,-10.6,0.0001824
420,3.04,-10.2,0.0001824
421,2.8,-12.8,0.000168
422,3.04,-12.4,0.0001824
423,2.8,-14.8,0.000168
424,2.8,-14.8,0.000168
425,3.04,-18.6,0.0001824
426,3.04,-18.4,0.0001824
427,2.8,-22.0,0.000168
428,2.88,-22.0,0.00017279999999999997
429,3.12,-26.8,0.0001872
430,3.12,-26.6,0.0001872
431,2.88,-31.0,0.00017279999999999997
432,3.12,-31.2,0.0001872
433,2.88,-34.0,0.00017279999999999997
434,2.88,-33.6,0.00017279999999999997
435,3.12,-35.0,0.0001872
436,3.12,-35.0,0.0001872
437,2.88,-33.2,0.00017279999999999997
438,2.96,-33.6,0.00017759999999999998
439,3.2,-29.6,0.00019199999999999998
440,2.96,-30.2,0.00017759999999999998
441,3.28,-26.2,0.00019679999999999996
442,3.28,-26.4,0.00019679999999999996
443,2.96,-22.0,0.00017759999999999998
444,2.96,-22.2,0.00017759999999999998
445,3.28,-18.4,0.00019679999999999996
446,3.28,-18.6,0.00019679999999999996
447,2.96,-15.6,0.00017759999999999998
448,2.96,-16.0,0.00017759999999999998
449,3.36,-13.0,0.00020159999999999997
450,3.36,-13.0,0.00020159999999999997
451,3.12,-11.0,0.0001872
452,3.36,-11.4,0.00020159999999999997
453,3.04,-9.2,0.0001824
454,3.36,-9.8,0.00020159999999999997
455,3.04,-8.4,0.0001824
456,3.04,-8.4,0.0001824
457,3.44,-7.2,0.00020639999999999998
458,3.2,-7.6,0.00019199999999999998
459,3.44,-6.4,0.00020639999999999998
460,3.44,-6.8,0.00020639999999999998
461,3.2,-5.8,0.00019199999999999998
462,3.44,-6.4,0.00020639999999999998
463,3.2,-5.0,0.00019199999999999998
464,3.2,-5.6,0.00019199999999999998
465,3.52,-4.6,0.00021119999999999998
466,3.2,-5.2,0.00019199999999999998
467,3.52,-4.2,0.00021119999999999998
468,3.2,-4.8,0.00019199999999999998
469,3.52,-4.0,0.00021119999999999998
470,3.52,-4.4,0.00021119999999999998
471,3.2,-3.8,0.00019199999999999998
472,3.52,-4.2,0.00021119999999999998
473,3.28,-3.4,0.00019679999999999996
474,3.28,-4.0,0.00019679999999999996
475,3.52,-3.2,0.00021119999999999998
476,3.52,-3.6,0.00021119999999999998
477,3.28,-3.0,0.00019679999999999996
478,3.36,-3.4,0.00020159999999999997
479,3.6,-2.8,0.000216
480,3.36,-3.4,0.00020159999999999997
481,3.6,-2.6,0.000216
482,3.36,-3.2,0.00020159999999999997
483,3.6,-2.6,0.000216
484,3.36,-3.2,0.00020159999999999997
485,3.6,-2.4,0.000216
486,3.36,-2.4,0.00020159999999999997
487,3.6,-3.0,0.000216
488,3.68,-3.0,0.0002208
489,3.36,-2.2,0.00020159999999999997
490,3.44,-2.8,0.00020639999999999998
491,3.68,-2.2,0.0002208
492,3.68,-2.2,0.0002208
493,3.44,-2.8,0.00020639999999999998
494,3.44,-2.6,0.00020639999999999998
495,3.68,-2.0,0.0002208
496,3.44,-2.6,0.00020639999999999998
497,3.76,-2.0,0.00022559999999999998
498,3.76,-2.6,0.00022559999999999998
499,3.52,-2.0,0.00021119999999999998
500,3.76,-2.6,0.00022559999999999998
501,3.52,-2.0,0.00021119999999999998
502,3.76,-2.4,0.00022559999999999998
503,3.52,-1.8,0.00021119999999999998
504,3.76,-2.4,0.00022559999999999998
505,3.52,-1.8,0.00021119999999999998
506,3.52,-2.4,0.00021119999999999998
507,3.84,-1.8,0.00023039999999999996
508,3.84,-2.4,0.00023039999999999996
509,3.52,-1.8,0.00021119999999999998
510,3.84,-1.8,0.00023039999999999996
511,3.6,-2.4,0.000216
512,3.84,-2.4,0.00023039999999999996
513,3.6,-1.8,0.000216
514,3.6,-2.4,0.000216
515,3.84,-1.6,0.00023039999999999996
516,3.68,-2.2,0.0002208
517,3.92,-1.6,0.0002352
518,3.68,-2.2,0.0002208
519,3.92,-1.6,0.0002352
520,4.0,-1.6,0.00023999999999999998
521,3.68,-2.2,0.0002208
522,4.0,-2.2,0.00023999999999999998
523,3.68,-1.6,0.0002208
524,3.68,-1.6,0.0002208
525,4.0,-2.2,0.00023999999999999998
526,3.76,-1.6,0.00022559999999999998
527,4.08,-2.2,0.0002448
528,4.08,-1.6,0.0002448
529,3.76,-2.2,0.00022559999999999998
530,4.08,-1.6,0.0002448
531,3.76,-2.2,0.00022559999999999998
532,4.08,-1.6,0.0002448
533,3.76,-2.2,0.00022559999999999998
534,3.84,-2.2,0.00023039999999999996
535,4.08,-1.4,0.0002448
536,3.84,-1.4,0.00023039999999999996
537,4.16,-2.2,0.0002496
538,3.92,-2.0,0.0002352
539,4.16,-1.4,0.0002496
540,3.92,-2.0,0.0002352
541,4.16,-1.4,0.0002496
542,4.16,-2.0,0.0002496
543,3.92,-1.2,0.0002352
544,3.92,-1.4,0.0002352
545,4.16,-2.0,0.0002496
546,3.92,-2.0,0.0002352
547,4.24,-1.2,0.0002544
548,4.24,-1.2,0.0002544
549,4.0,-2.0,0.00023999999999999998
550,4.24,-2.0,0.0002544
551,4.0,-1.2,0.00023999999999999998
552,4.0,-2.0,0.00023999999999999998
553,4.24,-1.2,0.0002544
554,4.0,-1.2,0.00023999999999999998
