Sequence,CH1,CH2,voltage,Bfield,CH2norm,time
183,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,0.915
184,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.92
185,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,0.925
186,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,0.93
187,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.935
188,0.552,0.102,207.6,0.00038357396363636364,1.0,0.9400000000000001
189,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.9450000000000001
190,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.9500000000000001
191,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.9550000000000001
192,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,0.96
193,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.965
194,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,0.97
195,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,0.975
196,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,0.98
197,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.985
198,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,0.99
199,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,0.995
200,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.0
201,0.542,0.101,207.6,0.0003829739636363637,0.8591549295774665,1.0050000000000001
202,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.01
203,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,1.0150000000000001
204,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,1.02
205,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.025
206,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.03
207,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,1.035
208,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,1.04
209,0.554,0.102,207.6,0.0003836939636363637,1.0,1.045
210,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,1.05
211,0.544,0.101,207.6,0.00038309396363636367,0.8591549295774665,1.055
212,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,1.06
213,0.558,0.102,207.6,0.00038393396363636367,1.0,1.065
214,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.07
215,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,1.075
216,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.08
217,0.546,0.102,207.6,0.00038321396363636366,1.0,1.085
218,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,1.09
219,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.095
220,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.1
221,0.562,0.101,207.6,0.00038417396363636365,0.8591549295774665,1.105
222,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,1.11
223,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,1.115
224,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,1.12
225,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.125
226,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.1300000000000001
227,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,1.135
228,0.548,0.101,207.6,0.00038333396363636365,0.8591549295774665,1.1400000000000001
229,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.145
230,0.546,0.101,207.6,0.00038321396363636366,0.8591549295774665,1.1500000000000001
231,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.155
232,0.548,0.1,207.6,0.00038333396363636365,0.7183098591549311,1.16
233,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.165
234,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.17
235,0.548,0.1,207.6,0.00038333396363636365,0.7183098591549311,1.175
236,0.558,0.101,207.6,0.00038393396363636367,0.8591549295774665,1.18
237,0.55,0.1,207.6,0.00038345396363636365,0.7183098591549311,1.185
238,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.19
239,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,1.195
240,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.2
241,0.548,0.0999,207.6,0.00038333396363636365,0.7042253521126771,1.205
242,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.21
243,0.564,0.1,207.6,0.00038429396363636365,0.7183098591549311,1.215
244,0.548,0.1,207.6,0.00038333396363636365,0.7183098591549311,1.22
245,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.225
246,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.23
247,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,1.235
248,0.562,0.1,207.6,0.00038417396363636365,0.7183098591549311,1.24
249,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,1.245
250,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.25
251,0.552,0.1,207.6,0.00038357396363636364,0.7183098591549311,1.2550000000000001
252,0.56,0.1,207.6,0.00038405396363636366,0.7183098591549311,1.26
253,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.2650000000000001
254,0.554,0.1,207.6,0.0003836939636363637,0.7183098591549311,1.27
255,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.2750000000000001
256,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.28
257,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.285
258,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.29
259,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.295
260,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.3
261,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.305
262,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.31
263,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.315
264,0.552,0.101,207.6,0.00038357396363636364,0.8591549295774665,1.32
265,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.325
266,0.55,0.101,207.6,0.00038345396363636365,0.8591549295774665,1.33
267,0.56,0.101,207.6,0.00038405396363636366,0.8591549295774665,1.335
268,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.34
269,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.345
270,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.35
271,0.554,0.1,207.6,0.0003836939636363637,0.7183098591549311,1.355
272,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.36
273,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.365
274,0.562,0.1,207.6,0.00038417396363636365,0.7183098591549311,1.37
275,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.375
276,0.562,0.101,207.6,0.00038417396363636365,0.8591549295774665,1.3800000000000001
277,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.385
